iter	Passed	Remaining
0	0	89
1	1	89
2	2	85
3	3	75
4	3	71
5	4	68
6	5	66
7	5	64
8	6	63
9	6	62
10	7	61
11	8	62
12	9	61
13	9	60
14	11	63
15	12	65
16	13	66
17	15	70
18	16	68
19	16	67
20	17	66
21	18	64
22	18	63
23	19	62
24	20	61
25	21	60
26	21	59
27	22	57
28	23	56
29	23	55
30	24	54
31	25	54
32	26	54
33	27	53
34	28	53
35	29	52
36	29	51
37	30	50
38	31	49
39	32	48
40	32	47
41	33	45
42	34	45
43	34	44
44	35	43
45	36	42
46	36	41
47	37	40
48	38	40
49	39	39
50	40	38
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	34
57	46	33
58	46	32
59	47	31
60	48	31
61	49	30
62	50	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	55	24
69	56	24
70	57	23
71	58	22
72	59	21
73	59	21
74	60	20
75	61	19
76	62	18
77	62	17
78	63	16
79	64	16
80	65	15
81	66	14
82	67	13
83	68	12
84	68	12
85	71	11
86	72	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	77	5
93	78	5
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
